WKT_,WKT,latitude,longitude
"POINT (-6.8593959 33.9826239)",POINT (-6.8593959 33.9826239),33.9826239,-6.8593959
"POINT (-6.8511002 33.9863018)",POINT (-6.8511002 33.9863018),33.9863018,-6.8511002
"POINT (-6.8523318 33.9812904)",POINT (-6.8523318 33.9812904),33.9812904,-6.8523318
"POINT (-6.8645656 33.9864883)",POINT (-6.8645656 33.9864883),33.9864883,-6.8645656
"POINT (-6.8661311 33.9882869)",POINT (-6.8661311 33.9882869),33.9882869,-6.8661311
"POINT (-6.8612635 33.9857445)",POINT (-6.8612635 33.9857445),33.9857445,-6.8612635
"POINT (-6.8545433 33.9855876)",POINT (-6.8545433 33.9855876),33.9855876,-6.8545433
"POINT (-6.8614692 33.981443)",POINT (-6.8614692 33.981443),33.981443,-6.8614692
"POINT (-6.8620375 33.9896747)",POINT (-6.8620375 33.9896747),33.9896747,-6.8620375
"POINT (-6.8592222 33.984975)",POINT (-6.8592222 33.984975),33.984975,-6.8592222
"POINT (-6.8525995 33.9889698)",POINT (-6.8525995 33.9889698),33.9889698,-6.8525995
"POINT (-6.8546921 33.9814434)",POINT (-6.8546921 33.9814434),33.9814434,-6.8546921
"POINT (-6.8582008 33.9826994)",POINT (-6.8582008 33.9826994),33.9826994,-6.8582008
"POINT (-6.8592411 33.9831112)",POINT (-6.8592411 33.9831112),33.9831112,-6.8592411
"POINT (-6.8633886 33.9906004)",POINT (-6.8633886 33.9906004),33.9906004,-6.8633886
"POINT (-6.8488416 33.9880108)",POINT (-6.8488416 33.9880108),33.9880108,-6.8488416
"POINT (-6.8499631 33.9880382)",POINT (-6.8499631 33.9880382),33.9880382,-6.8499631
"POINT (-6.8665739 33.9871568)",POINT (-6.8665739 33.9871568),33.9871568,-6.8665739
"POINT (-6.867613 33.9872545)",POINT (-6.867613 33.9872545),33.9872545,-6.867613
"POINT (-6.8663545 33.9908317)",POINT (-6.8663545 33.9908317),33.9908317,-6.8663545
"POINT (-6.8499713 33.9812815)",POINT (-6.8499713 33.9812815),33.9812815,-6.8499713
"POINT (-6.8610774 33.9870378)",POINT (-6.8610774 33.9870378),33.9870378,-6.8610774
"POINT (-6.8572704 33.9818548)",POINT (-6.8572704 33.9818548),33.9818548,-6.8572704
"POINT (-6.8613731 33.98568)",POINT (-6.8613731 33.98568),33.98568,-6.8613731
"POINT (-6.8522867 33.9824632)",POINT (-6.8522867 33.9824632),33.9824632,-6.8522867
"POINT (-6.8509131 33.9880909)",POINT (-6.8509131 33.9880909),33.9880909,-6.8509131
"POINT (-6.8647228 33.9898728)",POINT (-6.8647228 33.9898728),33.9898728,-6.8647228
"POINT (-6.8653359 33.9881641)",POINT (-6.8653359 33.9881641),33.9881641,-6.8653359
"POINT (-6.8665763 33.9875925)",POINT (-6.8665763 33.9875925),33.9875925,-6.8665763
"POINT (-6.8529705 33.9884056)",POINT (-6.8529705 33.9884056),33.9884056,-6.8529705
"POINT (-6.8572108 33.9825143)",POINT (-6.8572108 33.9825143),33.9825143,-6.8572108
"POINT (-6.8509929 33.9910229)",POINT (-6.8509929 33.9910229),33.9910229,-6.8509929
"POINT (-6.8505724 33.9801653)",POINT (-6.8505724 33.9801653),33.9801653,-6.8505724
"POINT (-6.866241 33.9800331)",POINT (-6.866241 33.9800331),33.9800331,-6.866241
"POINT (-6.8622314 33.9876393)",POINT (-6.8622314 33.9876393),33.9876393,-6.8622314
"POINT (-6.8572696 33.9868459)",POINT (-6.8572696 33.9868459),33.9868459,-6.8572696
"POINT (-6.8596159 33.9899046)",POINT (-6.8596159 33.9899046),33.9899046,-6.8596159
"POINT (-6.8641418 33.9829246)",POINT (-6.8641418 33.9829246),33.9829246,-6.8641418
"POINT (-6.8488834 33.9804896)",POINT (-6.8488834 33.9804896),33.9804896,-6.8488834
"POINT (-6.8514441 33.9813847)",POINT (-6.8514441 33.9813847),33.9813847,-6.8514441
"POINT (-6.8585982 33.9802912)",POINT (-6.8585982 33.9802912),33.9802912,-6.8585982
"POINT (-6.8537271 33.9910899)",POINT (-6.8537271 33.9910899),33.9910899,-6.8537271
"POINT (-6.8617851 33.9907622)",POINT (-6.8617851 33.9907622),33.9907622,-6.8617851
"POINT (-6.8623956 33.9908941)",POINT (-6.8623956 33.9908941),33.9908941,-6.8623956
"POINT (-6.8646883 33.9906901)",POINT (-6.8646883 33.9906901),33.9906901,-6.8646883
"POINT (-6.8589871 33.9909167)",POINT (-6.8589871 33.9909167),33.9909167,-6.8589871
"POINT (-6.8497127 33.9844373)",POINT (-6.8497127 33.9844373),33.9844373,-6.8497127
"POINT (-6.8485309 33.985582)",POINT (-6.8485309 33.985582),33.985582,-6.8485309
"POINT (-6.8582597 33.9819663)",POINT (-6.8582597 33.9819663),33.9819663,-6.8582597
"POINT (-6.8488754 33.9832024)",POINT (-6.8488754 33.9832024),33.9832024,-6.8488754
"POINT (-6.8554764 33.9824359)",POINT (-6.8554764 33.9824359),33.9824359,-6.8554764
"POINT (-6.8509951 33.9838242)",POINT (-6.8509951 33.9838242),33.9838242,-6.8509951
"POINT (-6.8551609 33.9874226)",POINT (-6.8551609 33.9874226),33.9874226,-6.8551609
"POINT (-6.8242498 34.0170121)",POINT (-6.8242498 34.0170121),34.0170121,-6.8242498
"POINT (-6.8357726 34.0124344)",POINT (-6.8357726 34.0124344),34.0124344,-6.8357726
"POINT (-6.8262047 34.013896)",POINT (-6.8262047 34.013896),34.013896,-6.8262047
"POINT (-6.8253121 34.0146961)",POINT (-6.8253121 34.0146961),34.0146961,-6.8253121
"POINT (-6.8336667 34.0080435)",POINT (-6.8336667 34.0080435),34.0080435,-6.8336667
"POINT (-6.822476 34.0155428)",POINT (-6.822476 34.0155428),34.0155428,-6.822476
"POINT (-6.8282291 34.016091)",POINT (-6.8282291 34.016091),34.016091,-6.8282291
"POINT (-6.8279392 34.0158126)",POINT (-6.8279392 34.0158126),34.0158126,-6.8279392
"POINT (-6.8288365 34.008269)",POINT (-6.8288365 34.008269),34.008269,-6.8288365
"POINT (-6.8376429 34.0148536)",POINT (-6.8376429 34.0148536),34.0148536,-6.8376429
"POINT (-6.8314046 34.0164147)",POINT (-6.8314046 34.0164147),34.0164147,-6.8314046
"POINT (-6.8225784 34.0159458)",POINT (-6.8225784 34.0159458),34.0159458,-6.8225784
"POINT (-6.8331481 34.0148907)",POINT (-6.8331481 34.0148907),34.0148907,-6.8331481
"POINT (-6.8297016 34.0083118)",POINT (-6.8297016 34.0083118),34.0083118,-6.8297016
"POINT (-6.8275856 34.0105196)",POINT (-6.8275856 34.0105196),34.0105196,-6.8275856
"POINT (-6.8351832 34.010749)",POINT (-6.8351832 34.010749),34.010749,-6.8351832
"POINT (-6.8273382 34.0130762)",POINT (-6.8273382 34.0130762),34.0130762,-6.8273382
"POINT (-6.8322811 34.0128053)",POINT (-6.8322811 34.0128053),34.0128053,-6.8322811
"POINT (-6.8341698 34.0095881)",POINT (-6.8341698 34.0095881),34.0095881,-6.8341698
"POINT (-6.835116 34.0156315)",POINT (-6.835116 34.0156315),34.0156315,-6.835116
"POINT (-6.8342736 34.019473)",POINT (-6.8342736 34.019473),34.019473,-6.8342736
"POINT (-6.8248919 34.0171832)",POINT (-6.8248919 34.0171832),34.0171832,-6.8248919
"POINT (-6.8358747 34.0154397)",POINT (-6.8358747 34.0154397),34.0154397,-6.8358747
"POINT (-6.8268846 34.0199595)",POINT (-6.8268846 34.0199595),34.0199595,-6.8268846
"POINT (-6.8241253 34.0105463)",POINT (-6.8241253 34.0105463),34.0105463,-6.8241253
"POINT (-6.8306109 34.009318)",POINT (-6.8306109 34.009318),34.009318,-6.8306109
"POINT (-6.8350419 34.0169842)",POINT (-6.8350419 34.0169842),34.0169842,-6.8350419
"POINT (-6.8279987 34.0118355)",POINT (-6.8279987 34.0118355),34.0118355,-6.8279987
"POINT (-6.8257393 34.0198957)",POINT (-6.8257393 34.0198957),34.0198957,-6.8257393
"POINT (-6.8290578 34.0122322)",POINT (-6.8290578 34.0122322),34.0122322,-6.8290578
"POINT (-6.8313203 34.0188327)",POINT (-6.8313203 34.0188327),34.0188327,-6.8313203
"POINT (-6.8347726 34.011239)",POINT (-6.8347726 34.011239),34.011239,-6.8347726
"POINT (-6.8239407 34.0121051)",POINT (-6.8239407 34.0121051),34.0121051,-6.8239407
"POINT (-6.8254966 34.0185424)",POINT (-6.8254966 34.0185424),34.0185424,-6.8254966
"POINT (-6.833475 34.0109836)",POINT (-6.833475 34.0109836),34.0109836,-6.833475
"POINT (-6.836636 34.018)",POINT (-6.836636 34.018),34.018,-6.836636
"POINT (-6.8252865 34.0150671)",POINT (-6.8252865 34.0150671),34.0150671,-6.8252865
"POINT (-6.8352594 34.0172222)",POINT (-6.8352594 34.0172222),34.0172222,-6.8352594
"POINT (-6.8254101 34.0094286)",POINT (-6.8254101 34.0094286),34.0094286,-6.8254101
"POINT (-6.8809731 33.9741278)",POINT (-6.8809731 33.9741278),33.9741278,-6.8809731
"POINT (-6.8665488 33.9674847)",POINT (-6.8665488 33.9674847),33.9674847,-6.8665488
"POINT (-6.8648221 33.9636789)",POINT (-6.8648221 33.9636789),33.9636789,-6.8648221
"POINT (-6.8761519 33.9755405)",POINT (-6.8761519 33.9755405),33.9755405,-6.8761519
"POINT (-6.8772284 33.9655922)",POINT (-6.8772284 33.9655922),33.9655922,-6.8772284
"POINT (-6.8702817 33.9684373)",POINT (-6.8702817 33.9684373),33.9684373,-6.8702817
"POINT (-6.8673715 33.9630492)",POINT (-6.8673715 33.9630492),33.9630492,-6.8673715
"POINT (-6.8714441 33.972624)",POINT (-6.8714441 33.972624),33.972624,-6.8714441
"POINT (-6.8676401 33.9678202)",POINT (-6.8676401 33.9678202),33.9678202,-6.8676401
"POINT (-6.8674465 33.9735982)",POINT (-6.8674465 33.9735982),33.9735982,-6.8674465
"POINT (-6.8796051 33.9726441)",POINT (-6.8796051 33.9726441),33.9726441,-6.8796051
"POINT (-6.8598109 33.9719356)",POINT (-6.8598109 33.9719356),33.9719356,-6.8598109
"POINT (-6.8728345 33.968918)",POINT (-6.8728345 33.968918),33.968918,-6.8728345
"POINT (-6.8614427 33.9738356)",POINT (-6.8614427 33.9738356),33.9738356,-6.8614427
"POINT (-6.8756422 33.9657188)",POINT (-6.8756422 33.9657188),33.9657188,-6.8756422
"POINT (-6.8713194 33.9701179)",POINT (-6.8713194 33.9701179),33.9701179,-6.8713194
"POINT (-6.8641305 33.9753962)",POINT (-6.8641305 33.9753962),33.9753962,-6.8641305
"POINT (-6.8710864 33.9701394)",POINT (-6.8710864 33.9701394),33.9701394,-6.8710864
"POINT (-6.8586264 33.9646459)",POINT (-6.8586264 33.9646459),33.9646459,-6.8586264
"POINT (-6.8759609 33.9729974)",POINT (-6.8759609 33.9729974),33.9729974,-6.8759609
"POINT (-6.8720406 33.9683392)",POINT (-6.8720406 33.9683392),33.9683392,-6.8720406
"POINT (-6.8628976 33.9747161)",POINT (-6.8628976 33.9747161),33.9747161,-6.8628976
"POINT (-6.8719708 33.9671406)",POINT (-6.8719708 33.9671406),33.9671406,-6.8719708
"POINT (-6.8749168 33.9633054)",POINT (-6.8749168 33.9633054),33.9633054,-6.8749168
"POINT (-6.8709879 33.9705603)",POINT (-6.8709879 33.9705603),33.9705603,-6.8709879
"POINT (-6.8643255 33.9648395)",POINT (-6.8643255 33.9648395),33.9648395,-6.8643255
"POINT (-6.8719565 33.9757477)",POINT (-6.8719565 33.9757477),33.9757477,-6.8719565
"POINT (-6.8586224 33.974654)",POINT (-6.8586224 33.974654),33.974654,-6.8586224
"POINT (-6.8587144 33.9672264)",POINT (-6.8587144 33.9672264),33.9672264,-6.8587144
"POINT (-6.8760118 33.9686385)",POINT (-6.8760118 33.9686385),33.9686385,-6.8760118
"POINT (-6.8586201 33.9656203)",POINT (-6.8586201 33.9656203),33.9656203,-6.8586201
"POINT (-6.8734994 33.9728574)",POINT (-6.8734994 33.9728574),33.9728574,-6.8734994
"POINT (-6.8643741 33.9695723)",POINT (-6.8643741 33.9695723),33.9695723,-6.8643741
"POINT (-6.8813497 33.9624705)",POINT (-6.8813497 33.9624705),33.9624705,-6.8813497
"POINT (-6.8633112 33.9701936)",POINT (-6.8633112 33.9701936),33.9701936,-6.8633112
"POINT (-6.8581278 33.9657931)",POINT (-6.8581278 33.9657931),33.9657931,-6.8581278
"POINT (-6.8801208 33.9736103)",POINT (-6.8801208 33.9736103),33.9736103,-6.8801208
"POINT (-6.8632088 33.9706908)",POINT (-6.8632088 33.9706908),33.9706908,-6.8632088
"POINT (-6.8598882 33.9706365)",POINT (-6.8598882 33.9706365),33.9706365,-6.8598882
"POINT (-6.8742216 33.9668106)",POINT (-6.8742216 33.9668106),33.9668106,-6.8742216
"POINT (-6.8592099 33.9621222)",POINT (-6.8592099 33.9621222),33.9621222,-6.8592099
"POINT (-6.8719531 33.9704577)",POINT (-6.8719531 33.9704577),33.9704577,-6.8719531
"POINT (-6.8609486 33.970536)",POINT (-6.8609486 33.970536),33.970536,-6.8609486
"POINT (-6.8720283 33.9640756)",POINT (-6.8720283 33.9640756),33.9640756,-6.8720283
"POINT (-6.8654988 33.9648283)",POINT (-6.8654988 33.9648283),33.9648283,-6.8654988
"POINT (-6.8671117 33.9674129)",POINT (-6.8671117 33.9674129),33.9674129,-6.8671117
"POINT (-6.877184 33.9753751)",POINT (-6.877184 33.9753751),33.9753751,-6.877184
"POINT (-6.8779707 33.965293)",POINT (-6.8779707 33.965293),33.965293,-6.8779707
"POINT (-6.8664161 33.9703984)",POINT (-6.8664161 33.9703984),33.9703984,-6.8664161
"POINT (-6.8643789 33.9692193)",POINT (-6.8643789 33.9692193),33.9692193,-6.8643789
"POINT (-6.881337 33.9701215)",POINT (-6.881337 33.9701215),33.9701215,-6.881337
"POINT (-6.8626908 33.9703874)",POINT (-6.8626908 33.9703874),33.9703874,-6.8626908
"POINT (-6.8659435 33.9643465)",POINT (-6.8659435 33.9643465),33.9643465,-6.8659435
"POINT (-6.8726892 33.9742367)",POINT (-6.8726892 33.9742367),33.9742367,-6.8726892
"POINT (-6.8819258 33.974968)",POINT (-6.8819258 33.974968),33.974968,-6.8819258
"POINT (-6.8694469 33.9681945)",POINT (-6.8694469 33.9681945),33.9681945,-6.8694469
"POINT (-6.8628787 33.9685733)",POINT (-6.8628787 33.9685733),33.9685733,-6.8628787
"POINT (-6.8716517 33.9689228)",POINT (-6.8716517 33.9689228),33.9689228,-6.8716517
"POINT (-6.877724 33.9656638)",POINT (-6.877724 33.9656638),33.9656638,-6.877724
"POINT (-6.8329943 33.991841)",POINT (-6.8329943 33.991841),33.991841,-6.8329943
"POINT (-6.8313009 33.994123)",POINT (-6.8313009 33.994123),33.994123,-6.8313009
"POINT (-6.8192082 33.9875858)",POINT (-6.8192082 33.9875858),33.9875858,-6.8192082
"POINT (-6.818695 33.9856494)",POINT (-6.818695 33.9856494),33.9856494,-6.818695
"POINT (-6.8262627 33.9944404)",POINT (-6.8262627 33.9944404),33.9944404,-6.8262627
"POINT (-6.824712 33.9859656)",POINT (-6.824712 33.9859656),33.9859656,-6.824712
"POINT (-6.829316 33.9900654)",POINT (-6.829316 33.9900654),33.9900654,-6.829316
"POINT (-6.8191702 33.991937)",POINT (-6.8191702 33.991937),33.991937,-6.8191702
"POINT (-6.829547 33.9947724)",POINT (-6.829547 33.9947724),33.9947724,-6.829547
"POINT (-6.8348776 33.9949303)",POINT (-6.8348776 33.9949303),33.9949303,-6.8348776
"POINT (-6.8194259 33.9930671)",POINT (-6.8194259 33.9930671),33.9930671,-6.8194259
"POINT (-6.8370487 33.9929489)",POINT (-6.8370487 33.9929489),33.9929489,-6.8370487
"POINT (-6.8310335 33.9909917)",POINT (-6.8310335 33.9909917),33.9909917,-6.8310335
"POINT (-6.8374361 33.9866991)",POINT (-6.8374361 33.9866991),33.9866991,-6.8374361
"POINT (-6.8309699 33.9920895)",POINT (-6.8309699 33.9920895),33.9920895,-6.8309699
"POINT (-6.827043 33.9869408)",POINT (-6.827043 33.9869408),33.9869408,-6.827043
"POINT (-6.8365114 33.9878047)",POINT (-6.8365114 33.9878047),33.9878047,-6.8365114
"POINT (-6.8358249 33.9867048)",POINT (-6.8358249 33.9867048),33.9867048,-6.8358249
"POINT (-6.8226629 33.9932568)",POINT (-6.8226629 33.9932568),33.9932568,-6.8226629
"POINT (-6.835958 33.9897666)",POINT (-6.835958 33.9897666),33.9897666,-6.835958
"POINT (-6.829471 33.986763)",POINT (-6.829471 33.986763),33.986763,-6.829471
"POINT (-6.8323426 33.9898026)",POINT (-6.8323426 33.9898026),33.9898026,-6.8323426
"POINT (-6.8239937 33.9948563)",POINT (-6.8239937 33.9948563),33.9948563,-6.8239937
"POINT (-6.8278179 33.9866017)",POINT (-6.8278179 33.9866017),33.9866017,-6.8278179
"POINT (-6.8237019 33.9858569)",POINT (-6.8237019 33.9858569),33.9858569,-6.8237019
"POINT (-6.8246039 33.9959429)",POINT (-6.8246039 33.9959429),33.9959429,-6.8246039
"POINT (-6.8206612 33.9882962)",POINT (-6.8206612 33.9882962),33.9882962,-6.8206612
"POINT (-6.822061 33.9919935)",POINT (-6.822061 33.9919935),33.9919935,-6.822061
"POINT (-6.829786 33.987641)",POINT (-6.829786 33.987641),33.987641,-6.829786
"POINT (-6.8355075 33.9913385)",POINT (-6.8355075 33.9913385),33.9913385,-6.8355075
"POINT (-6.8319911 33.9893134)",POINT (-6.8319911 33.9893134),33.9893134,-6.8319911
"POINT (-6.8238846 33.9866557)",POINT (-6.8238846 33.9866557),33.9866557,-6.8238846
"POINT (-6.8364495 33.9858584)",POINT (-6.8364495 33.9858584),33.9858584,-6.8364495
"POINT (-6.8290944 33.9841003)",POINT (-6.8290944 33.9841003),33.9841003,-6.8290944
"POINT (-6.8332206 33.9882953)",POINT (-6.8332206 33.9882953),33.9882953,-6.8332206
"POINT (-6.8234205 33.9937822)",POINT (-6.8234205 33.9937822),33.9937822,-6.8234205
"POINT (-6.8304745 33.9954621)",POINT (-6.8304745 33.9954621),33.9954621,-6.8304745
"POINT (-6.8287187 33.9948951)",POINT (-6.8287187 33.9948951),33.9948951,-6.8287187
"POINT (-6.8196271 33.9846727)",POINT (-6.8196271 33.9846727),33.9846727,-6.8196271
"POINT (-6.8575198 34.0081917)",POINT (-6.8575198 34.0081917),34.0081917,-6.8575198
"POINT (-6.8592876 34.0035007)",POINT (-6.8592876 34.0035007),34.0035007,-6.8592876
"POINT (-6.8593601 34.0111579)",POINT (-6.8593601 34.0111579),34.0111579,-6.8593601
"POINT (-6.8659699 34.008134)",POINT (-6.8659699 34.008134),34.008134,-6.8659699
"POINT (-6.8610373 34.0134729)",POINT (-6.8610373 34.0134729),34.0134729,-6.8610373
"POINT (-6.85208 34.0122661)",POINT (-6.85208 34.0122661),34.0122661,-6.85208
"POINT (-6.8550009 34.0137658)",POINT (-6.8550009 34.0137658),34.0137658,-6.8550009
"POINT (-6.8652161 34.0106342)",POINT (-6.8652161 34.0106342),34.0106342,-6.8652161
"POINT (-6.8583993 34.0059007)",POINT (-6.8583993 34.0059007),34.0059007,-6.8583993
"POINT (-6.8557476 34.0040607)",POINT (-6.8557476 34.0040607),34.0040607,-6.8557476
"POINT (-6.8551367 34.0142216)",POINT (-6.8551367 34.0142216),34.0142216,-6.8551367
"POINT (-6.8583719 34.0120547)",POINT (-6.8583719 34.0120547),34.0120547,-6.8583719
"POINT (-6.8610665 34.0039735)",POINT (-6.8610665 34.0039735),34.0039735,-6.8610665
"POINT (-6.8635387 34.0100987)",POINT (-6.8635387 34.0100987),34.0100987,-6.8635387
"POINT (-6.8540741 34.0108836)",POINT (-6.8540741 34.0108836),34.0108836,-6.8540741
"POINT (-6.8530464 34.0037447)",POINT (-6.8530464 34.0037447),34.0037447,-6.8530464
"POINT (-6.8592264 34.0058842)",POINT (-6.8592264 34.0058842),34.0058842,-6.8592264
"POINT (-6.8559586 34.0098771)",POINT (-6.8559586 34.0098771),34.0098771,-6.8559586
"POINT (-6.8628756 34.0103224)",POINT (-6.8628756 34.0103224),34.0103224,-6.8628756
"POINT (-6.8566974 34.0145071)",POINT (-6.8566974 34.0145071),34.0145071,-6.8566974
"POINT (-6.8549413 34.0068484)",POINT (-6.8549413 34.0068484),34.0068484,-6.8549413
"POINT (-6.8570756 34.0082868)",POINT (-6.8570756 34.0082868),34.0082868,-6.8570756
"POINT (-6.8580033 34.0026927)",POINT (-6.8580033 34.0026927),34.0026927,-6.8580033
"POINT (-6.8637678 34.0047274)",POINT (-6.8637678 34.0047274),34.0047274,-6.8637678
"POINT (-6.8606433 34.0115596)",POINT (-6.8606433 34.0115596),34.0115596,-6.8606433
"POINT (-6.8589926 34.005691)",POINT (-6.8589926 34.005691),34.005691,-6.8589926
"POINT (-6.8654645 34.0035203)",POINT (-6.8654645 34.0035203),34.0035203,-6.8654645
"POINT (-6.853323 34.0059911)",POINT (-6.853323 34.0059911),34.0059911,-6.853323
"POINT (-6.8553771 34.0147564)",POINT (-6.8553771 34.0147564),34.0147564,-6.8553771
"POINT (-6.8598087 34.0148821)",POINT (-6.8598087 34.0148821),34.0148821,-6.8598087
"POINT (-6.8634578 34.002248)",POINT (-6.8634578 34.002248),34.002248,-6.8634578
"POINT (-6.8521878 34.0045768)",POINT (-6.8521878 34.0045768),34.0045768,-6.8521878
"POINT (-6.8576763 34.0036141)",POINT (-6.8576763 34.0036141),34.0036141,-6.8576763
"POINT (-6.8945289 33.9715613)",POINT (-6.8945289 33.9715613),33.9715613,-6.8945289
"POINT (-6.8905177 33.9747577)",POINT (-6.8905177 33.9747577),33.9747577,-6.8905177
"POINT (-6.8799722 33.9859366)",POINT (-6.8799722 33.9859366),33.9859366,-6.8799722
"POINT (-6.8891455 33.9797082)",POINT (-6.8891455 33.9797082),33.9797082,-6.8891455
"POINT (-6.8324232 34.0246164)",POINT (-6.8324232 34.0246164),34.0246164,-6.8324232
"POINT (-6.8674436 33.9954668)",POINT (-6.8674436 33.9954668),33.9954668,-6.8674436
"POINT (-6.8898969 33.9718238)",POINT (-6.8898969 33.9718238),33.9718238,-6.8898969
"POINT (-6.8550689 33.970118)",POINT (-6.8778515 33.9909042),33.970118,-6.8550689
"POINT (-6.8715533 34.0003993)",POINT (-6.8715533 34.0003993),34.0003993,-6.8715533
"POINT (-6.8996936 33.97102)",POINT (-6.8996936 33.97102),33.97102,-6.8996936
"POINT (-6.8962288 33.9743352)",POINT (-6.8962288 33.9743352),33.9743352,-6.8962288
